COc1cc(cc(c1OC)OC)C(C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCc3ccccc3)CCCc4cccnc4)(F)F	001	1-[2,2-difluoro-2-(3,4,5-trimethoxy-phenyl)-acetyl]-piperidine-2-carboxylic acid 4-phenyl-1-(3-pyridin-3-yl-propyl)-butyl ester
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	006	(4r)-3-[(2s,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
c1ccc2c(c1)C[C@H](N(C2)C(=O)C[C@@H](Cc3ccccc3F)N)C(=O)N	008	(s)-2-[(r)-3-amino-4-(2-fluoro-phenyl)-butyryl]-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid amide
Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC	00J	n,2-dimethyl-6-{[7-(2-morpholin-4-ylethoxy)quinolin-4-yl]oxy}-1-benzofuran-3-carboxamide
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NCC4CCC(CC4)N	00P	(5s)-n-[(trans-4-aminocyclohexyl)methyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NC4CCC(CC4)c5cnc([nH]5)N	00R	(5s)-n-[trans-4-(2-amino-1h-imidazol-5-yl)cyclohexyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
c1cc(c(cc1Cl)CN)CN	00T	(4-chlorobenzene-1,2-diyl)dimethanamine
c1ccc2c(c1)C[C@H]([C@H]2N)O	00X	(1s,2r)-1-amino-2,3-dihydro-1h-inden-2-ol
c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O	014	1-(5-chloro-6-fluoro-1h-benzimidazol-2-yl)-1h-pyrazole-4-carboxylic acid
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	016	(4r)-3-[(2r,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h- inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2	018	2-nitro-n-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline
C1COCCN1c2nc3c(n2[C@H]4[C@@H]([C@@H]([C@H](O4)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC3=O)N	01G	8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)
[H]/N=C(\c1cc(cn1C)CN)/N	01O	4-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4	01P	n~2~-[3-methoxy-4-(morpholin-4-yl)phenyl]-n~4~-(quinolin-3-yl)pyrimidine-2,4-diamine
[H]/N=C(\c1ccc(n1C)CN)/N	01Q	5-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
