COc1cc(cc(c1OC)OC)C(C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCc3ccccc3)CCCc4cccnc4)(F)F	001	1-[2,2-difluoro-2-(3,4,5-trimethoxy-phenyl)-acetyl]-piperidine-2-carboxylic acid 4-phenyl-1-(3-pyridin-3-yl-propyl)-butyl ester
CC(C)CN1c2c(c(n(n2)Cc3cccc4c3cccc4)c5ccncc5)C(=O)N(C1=O)C	003	5-methyl-7-(2-methylpropyl)-2-(naphthalen-1-ylmethyl)-3-pyridin-4-yl-2h-pyrazolo[3,4-d]pyrimidine-4,6(5h,7h)-dione
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	006	(4r)-3-[(2s,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@]3(CN(C(=O)N3)Cc4ccccc4)Cc5ccccc5)O	009	(4s)-1,4-dibenzyl-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-2-oxoimidazolidine-4-carboxamide
c1ccn(c1)CCOc2ccc3c(c2)cc[nH]3	00G	5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole
[H]/N=C(\c1ccc(cc1)C[C@H](C(=O)N2CCCCC2)NC(=O)[C@H](CCC(=O)O)NS(=O)(=O)c3ccc4ccccc4c3)/N	00I	n-[(1r)-1-(4-carbamimidoylbenzyl)-2-oxo-2-piperidin-1-ylethyl]-n~2~-(naphthalen-2-ylsulfonyl)-l-alpha-glutamine
Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC	00J	n,2-dimethyl-6-{[7-(2-morpholin-4-ylethoxy)quinolin-4-yl]oxy}-1-benzofuran-3-carboxamide
c1cc(c(cc1Cl)CN)CN	00T	(4-chlorobenzene-1,2-diyl)dimethanamine
CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)N3)Cc4cccc(c4)OC)O	012	(4s)-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-1-(3-methoxybenzyl)-2-oxoimidazolidine-4-carboxamide
c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O	014	1-(5-chloro-6-fluoro-1h-benzimidazol-2-yl)-1h-pyrazole-4-carboxylic acid
