   68948 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3CCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O |Protein kinase C alpha
   69054 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@@H](O)C[C@@H]3CCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O |Protein kinase C alpha
   69134 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)CCO[C@H](C(C)(C)C)C[C@@H]3CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O |Protein kinase C alpha
   83387 CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1.CS(=O)(=O) |Protein kinase C alpha
  115876 C[C@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  114982 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115222 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115223 CC1(C)SSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115416 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115540 CC[C@H](C)[C@H]1NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  115557 CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115628 CC1(C)SSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115681 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1 |Tyrosine-protein kinase SRC
  115716 CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115833 C[C@H]1NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC1= |Tyrosine-protein kinase SRC
  115844 CC(=O)N[C@H]1C(=O)N[C@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115843 C[C@@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  115845 CC(=O)N[C@H]1C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115874 C[C@@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  115875 C[C@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  116098 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116135 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116299 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116300 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1 |Tyrosine-protein kinase SRC
  116367 CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  116448 CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  129602 O=C1CC2O[C@H](O)C(O)C(O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c3oc(=O)c4c(c(O)c(O)c5oc(=O)c2c3c54)-c2c1cc(O)c(O)c2 |Protein kinase C (PKC)
  130279 O=C1OC2C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c5oc(=O)c6c(c(O)c(O)c7oc(=O)c4c5c76)-c4c(cc(O)c(O)c4O)C(=O)CC3O[C@H](O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2 |Protein kinase C (PKC)
  144848 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CNCc1ccccc1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  144921 CN1CCN(C[C@@H]2CCn3cc(c4ccccc43)C3=C(C(=O)NC3=O)c3cn(c4ccccc34)CCO2)CC |Protein kinase C alpha
  144959 CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C gamma
  145186 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CN1CCCC1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145391 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CNS(=O)(=O)c1ccccc1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145394 NC[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C alpha
  145429 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CN1CCOCC1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145610 CNC[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C alpha
  169151 CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC |Protein kinase C alpha
  169152 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCN(CCO)CCOCCn1cc2c2ccccc2 |Protein kinase C alpha
  169223 CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC |Protein kinase C alpha
  169857 CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
  169917 CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC |Protein kinase C alpha
  169920 CN1CCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCCOCC |Protein kinase C alpha
  169961 CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
