7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
12252 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCCC1=CC=CC2CCCCC12 | Tyrosine-protein kinase SRC
24793 O=C1CC[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5 | 6-phospho-1-fructokinase
29611 C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)[C@@H]2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3 | 6-phospho-1-fructokinase
31959 N#CC1=CC=C2C=CC=C(O)C2N1OP(=O)(O)O | Tyrosine-protein kinase SRC
31960 O=P(O)(O)ON1C=CC=C2C=CC=C(O)C21 | Tyrosine-protein kinase SRC
34952 CCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(=O)CCC | Protein kinase C delta
35237 CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23CC(OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)c1cccc(O)c1 | Protein kinase C alpha
35352 COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 | Protein kinase C (PKC)
35373 CCCCCCCCCCC[C@@H]1C(=O)O[C@@H]2[C@@H](CO)OC(=O)[C@H]12 | Protein kinase C alpha
35466 CCCCCCCCCCCC[C@@H]1C(=O)O[C@]2(CO)CC(=O)O[C@H]12 | Protein kinase C alpha
35488 CCCCCCCCCCC[C@H]1C(=O)O[C@@]2(CO)COC(=O)[C@@H]12 | Protein kinase C alpha
35502 CCCCCCCCCCC[C@@H]1C(=O)O[C@]2(CO)COC(=O)[C@H]12 | Protein kinase C alpha
35844 O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1COCC3S1(=O)=O | Protein kinase C (PKC)
38691 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NC3CC(C(=O)O)c4ccccc43)N2C1=O | Tyrosine-protein kinase LCK
38712 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)N[C@H]3C[C@@H](C(=O)O)c4ccccc43)N2C1=O | Tyrosine-protein kinase LCK
38713 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)N[C@@H]3C[C@H](C(=O)O)c4ccccc43)N2C1=O | Tyrosine-protein kinase LCK
38865 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NCc3ccc(Cl)cc3)N2C1=O | Tyrosine-protein kinase LCK
38938 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NCc3cccc4ccccc34)N2C1=O | Tyrosine-protein kinase LCK
39011 CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NCc3ccc(O)cc3)N2C1=O | Tyrosine-protein kinase LCK
