24793 O=C1CC[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5 | 6-phospho-1-fructokinase
29611 C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)[C@@H]2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3 | 6-phospho-1-fructokinase
35237 CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23CC(OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)c1cccc(O)c1 | Protein kinase C alpha
35337 CCCCCCCCCCC/C=C1/C(=O)O[C@@H](CO)[C@@]12CCC(=O)O2 | Protein kinase C alpha
35521 CCCCCCCCCCCCC1C(=O)O[C@@H](CO)[C@@]12CCC(=O)O2 | Protein kinase C alpha
52404 CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc3c(cc2N1C)C1(CCC3)CCC(C)(C)CC1 | Protein kinase C delta
52406 CC(C)[C@H]1C(=O)N[C@H](CO)Cc2cc3c(cc2N1C)C1(CCCCC1)CCC3 | Protein kinase C delta
70462 C=C(C)[C@@]12OC3(c4ccccc4)O[C@@H]1[C@@H]1C4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)/C=C/c1ccccc1 | Protein kinase C delta
70662 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
93375 Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314 | Serine/threonine-protein kinase mTOR
94863 c1ccc(COc2cc3c(c(OCc4ccccc4)c2OCc2ccccc2)-c2c(cc(OCc4ccccc4)c(OCc4ccccc4)c2OCc2ccccc2)C[N+]2(C3)Cc3cc(OCc4ccccc4)c(OCc4ccccc4)c(OCc4ccccc4)c3-c3c(cc(OCc4ccccc4)c(OCc4ccccc4)c3OCc3ccccc3)C2)cc1 | Protein kinase C (PKC)
95209 COc1c(OCc2ccccc2)c(OCc2ccccc2)cc2c1-c1c(cc(OCc3ccccc3)c(OCc3ccccc3)c1OC)C[N+]1(C2)Cc2cc(OCc3ccccc3)c(OCc3ccccc3)c(OC)c2-c2c(cc(OCc3ccccc3)c(Oc3ccccc3)c2OC)C1 | Protein kinase C (PKC)
100460 Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)OCCO5)nc3)cc(-c3cccc(Br)c3)c12 | Adenosine kinase
107154 O=C1C(O)=C(O)O[C@@H]1C1COC2(CCCCC2)O1 | G-protein coupled receptor kinase 2
107167 O=C1C(O)=C(O)O[C@H]1C1COC2(CCCCC2)O1 | G-protein coupled receptor kinase 2
169509 Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)COCO5)nc3)cc(-c3cccc(Br)c3)c12 | Adenosine kinase
187802 Nc1nc(OCC2COC3(CCCCC3)O2)c2[nH]cnc2n1 | Cyclin-dependent kinase 1/cyclin B1
257000 O=C(O[C@H]1CCC23CCCC[C@H](C=C(CO)C[C@H]12)C3=O)c1ccccc1 | Protein kinase C alpha
256999 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C alpha
257055 CC1=CC23CCCC[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)C3=O | Protein kinase C alpha
262404 [N-]=[N+]=N[C@@H]1C[C@@H](O)CC2(SCCS2)[C@H]1OC(=O)c1ccccc1 | PI4-kinase alpha subunit
262435 CC(=O)O[C@@H]1C[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)C2(C1)SCCS2 | PI4-kinase alpha subunit
329734 Nc1ncnc2c1c(I)cn2[C@@H]1OC2(CC2)[C@@H](O)[C@H]1O | Adenosine kinase
329742 O[C@H]1[C@@H](O)[C@H](n2cc(-c3ccccc3)c3c(Nc4ccc(F)cc4)ncnc32)OC12CC2 | Adenosine kinase
366509 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
366493 CCC(C)NC(=O)[C@@H]1[C@@H](C(=O)NO)CC2(CC2)CN1C | Receptor protein-tyrosine kinase erbB-2
366510 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
366517 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCC(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
366526 Cc1cc([N+](=O)[O-])ccc1N1CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1 | Receptor protein-tyrosine kinase erbB-2
366543 Cc1cc([N+](=O)[O-])ccc1C1=CCN(C(=O)[C@H]2NCC3(CC3)C[C@@H]2C(=O)NO)CC1 | Receptor protein-tyrosine kinase erbB-2
366544 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN2c3ccccc3CC2C1 | Receptor protein-tyrosine kinase erbB-2
366550 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1 | Receptor protein-tyrosine kinase erbB-2
366551 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)C1 | Receptor protein-tyrosine kinase erbB-2
366557 CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
366558 CN1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
366565 COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1 | Receptor protein-tyrosine kinase erbB-2
403977 Cc1cn([C@@H]2C[C@H](O)[C@@H](CNC(=S)Nc3ccc4c(c3)C(=O)OC43c4ccc(O)cc4Oc4cc(O)ccc43)O2)c(=O)[nH]c1=O | Thymidylate kinase
412006 COc1ccc2[nH]c3c(c2c1)C1(CCC1)CNC3=O | MAP kinase-activated protein kinase 2
427424 N#Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12 | Serine/threonine-protein kinase AKT
427428 c1ccc(Cc2c[nH]c3ncnc(N4CC5(CCNCC5)c5ccccc54)c23)cc1 | Serine/threonine-protein kinase AKT
427470 CS(=O)(=O)N1CCC2(CC1)CN(c1ncnc3[nH]ccc13)c1ccc(F)cc12 | Serine/threonine-protein kinase AKT
427468 Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12 | Serine/threonine-protein kinase AKT
427471 Clc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12 | Serine/threonine-protein kinase AKT
427473 CC(=O)N1CCC2(CC1)CN(c1ncnc3[nH]ccc13)c1ccc(F)cc12 | Serine/threonine-protein kinase AKT
427523 CN1CCC2(CC1)CN(c1ncnc3[nH]ccc13)c1ccccc12 | Serine/threonine-protein kinase AKT
427525 Clc1ccc2c(c1)C1(CCNCC1)CN2c1ncnc2[nH]ccc12 | Serine/threonine-protein kinase AKT
427526 Fc1ccc2c(c1)C1(CCNCC1)CN2c1ncnc2[nH]ccc12 | Serine/threonine-protein kinase AKT
427529 c1ccc2c(c1)N(c1ncnc3[nH]ccc13)CC21CCNCC1 | Serine/threonine-protein kinase AKT
433048 O=C1NC(=O)c2c1c1c(O)ccc3c1c1c2c2ccccc2n1[C@]1(O3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O | Serine/threonine-protein kinase Chk1
436352 O=C(Nc1nc(C(=O)NC2CCN(Cc3ccccc3)CC2)cs1)c1ccc2cc3n(c2c1)C1(CCC1)CNC3=O | MAP kinase-activated protein kinase 2
436394 CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1 | MAP kinase-activated protein kinase 2
436398 CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1 | MAP kinase-activated protein kinase 2
440811 Nc1nc(OC[C@@H]2COC3(CCCCC3)O2)c2nc[nH]c2n1 | Cyclin-dependent kinase 1/cyclin B1
476876 CCOC(=O)C[C@@H]1CC2=C(C(=O)c3ccccc3C2=O)C2(CCCC2)O1 | Serine/threonine-protein kinase AKT
489138 O=C1CC2(CCCC2)Cc2nc(N3CCOCC3)sc21 | PI3-kinase p110-alpha subunit
489139 O=C1CC2(CCCCC2)Cc2nc(N3CCOCC3)sc21 | PI3-kinase p110-alpha subunit
490178 CO[C@@H]1C23C=CC(=O)C(O)=C2OC[C@]1(O)Cc1cc(O)c(O)cc13 | Tyrosine-protein kinase SRC
490179 CO[C@H]1C23C=CC(=O)C(O)=C2OC[C@]1(O)Cc1cc(O)c(O)cc13 | Tyrosine-protein kinase SRC
501773 O=C(NO)[C@H]1CC2(CC[C@@H]1C(=O)N1CCN(c3ccccc3)CC1)CC2 | Receptor protein-tyrosine kinase erbB-2
519020 CCCC[C@@H](Sc1nc2ccccc2c(=O)n1-c1cccc(Cl)c1)C(=O)N1CCC[C@]2(CCCNC2)C1 | Serine/threonine-protein kinase Chk1
519077 CCCCC(Sc1nc2ccccc2c(=O)n1-c1ccccc1)C(=O)N1CCCC2(CCCNC2)C1 | Serine/threonine-protein kinase Chk1
554053 O=C([O-])C(F)(F)F.Oc1cc2c(cc1O)[C@@H]1Cc3cc(O)c(O)cc3[C@H]3Cc4cc(O)c(O)cc4[N@@+]13CC2 | c-Jun N-terminal kinase 3
554121 COc1cc2c(cc1O)C[C@@H]1c3cc(O)c(O)cc3C[C@H]3c4cc(O)c(O)cc4CC[N@+]231.O=C([O-])C(F)(F)F | c-Jun N-terminal kinase 3
577608 COc1ccccc1NC(=O)N1CCC2(CC1)CCN(S(=O)(=O)c1sc(NC(C)=O)nc1C)C2 | Protein tyrosine kinase 2 beta
577605 O=C(NCC(=O)N1CCC2(CC1)CCN(C(=O)Cc1n[nH]c(=O)c3ccccc13)C2)c1ccco1 | Protein tyrosine kinase 2 beta
577606 O=C(NCC(=O)N1CCC2(CC1)CCN(C(=S)NC[C@@H]1CCCO1)C2)c1ccco1 | Protein tyrosine kinase 2 beta
577629 Cc1cc(C)cc(NC(=O)N2CCC3(CCN(C(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)C3)CC2)c1 | Protein tyrosine kinase 2 beta
602753 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602818 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602819 CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602820 O=C(NCCF)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602888 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)NC1CC1 | Serine/threonine-protein kinase mTOR
602889 O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602890 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602891 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)Nc1cccnc1 | Serine/threonine-protein kinase mTOR
690661 COc1cc2c(cc1O)CCN[C@]21CS[C@H]2c3c(OC(C)=O)c(C)c4c(c3[C@@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4 | Tyrosine-protein kinase SRC
696292 CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccccc4F)cc3-2)C1 | MAP kinase-activated protein kinase 2
707358 O=C1C[C@H]2CCC[C@]3(C[C@@H](C[C@@H](CCCCc4ccccc4)O3)OC(=O)C[C@H](CO)O1)O2 | Protein kinase C theta
728306 O=C(c1ccc2c(c1)OCO2)N1CCC2(CC1)Oc1ccc(F)cc1C(=O)C21CC(c2ccccc2)=NO1 | Serine-protein kinase ATM
