   35352 1381250.00 |cAMP-dependent protein kinase alpha-catalytic subunit| Protein kinase C (PKC) IC50
   52028 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52029 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52141 72.00 |Mitogen-activated protein kinase kinase kinase 9| Mitogen-activated protein kinase kinase kinase 9 IC50
   52140 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52172 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52325 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52326 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52327 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52974 5.00 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 9 IC50
   52976 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   52975 6.67 |Protein kinase C (PKC)| Mitogen-activated protein kinase kinase kinase 10 IC50
   55962 7692.31 |Mitogen-activated protein kinase kinase kinase 11| Interferon-induced, double-stranded RNA-activated protein kinase IC50
   57513 35.71 |Protein kinase C (PKC)| Receptor protein-tyrosine kinase erbB-2 IC50
   96627 6666.67 |Serine/threonine-protein kinase Chk1| Cyclin-dependent kinase 1 IC50
  112237 11000.00 |Protein kinase C beta| Protein kinase C zeta IC50
  112238 846.15 |Protein kinase C beta| Protein kinase C zeta IC50
  112359 846.15 |Protein kinase C beta| Protein kinase C zeta IC50
  112360 846.15 |Protein kinase C beta| Protein kinase C zeta IC50
  112897 846.15 |Protein kinase C beta| Protein kinase C zeta IC50
  122111 600.00 |Protein kinase C beta| Protein kinase C zeta IC50
  122112 600.00 |Protein kinase C beta| Protein kinase C zeta IC50
  122837 600.00 |Protein kinase C beta| Protein kinase C zeta IC50
  122838 600.00 |Protein kinase C beta| Protein kinase C zeta IC50
  150961 25.00 |MAP kinase p38| MAP kinase p38 IC50
  151534 25.00 |MAP kinase p38| MAP kinase p38 IC50
  151685 25.00 |MAP kinase p38| MAP kinase p38 IC50
  151760 25.00 |MAP kinase p38| MAP kinase p38 IC50
  151822 25.00 |MAP kinase p38| MAP kinase p38 IC50
  215380 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  215403 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  215431 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  215528 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  215776 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  215778 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  216308 48.00 |Protein kinase C (PKC)| cAMP-dependent protein kinase (PKA) IC50
  234747 143.00 |Cyclin-dependent kinase 4| Cyclin-dependent kinase 4/cyclin D IC50
  334404 93.08 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
  334408 93.08 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
  334414 93.08 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
  354862 60.67 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase LCK IC50
  354947 60.67 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase LCK IC50
  355327 60.67 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase LCK IC50
  373381 32154340.84 |CaM kinase II delta| Protein kinase C (PKC) IC50
  412441 80.00 |MAP kinase-activated protein kinase 2| MAP kinase-activated protein kinase 3 IC50
  412439 80.00 |MAP kinase-activated protein kinase 2| MAP kinase-interacting serine/threonine-protein kinase MNK1 IC50
  428018 32.76 |Serine/threonine-protein kinase AKT| Serine/threonine-protein kinase AKT3 IC50
  440561 523.56 |PI3-kinase p110-alpha subunit| Pyruvate dehydrogenase kinase isoform 1 IC50
  441056 18181.82 |PI3-kinase p110-delta subunit| Pyruvate dehydrogenase kinase isoform 1 IC50
  453785 1.51 |Cyclin-dependent kinase 2| Serine/threonine-protein kinase B-raf IC50
  453943 1.68 |Cyclin-dependent kinase 2| Tyrosine-protein kinase TIE-2 IC50
  475975 227.27 |Protein kinase C-like 1| Serine/threonine-protein kinase Aurora-B IC50
  507943 6.83 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2 IC50
  550544 1929.82 |Protein kinase C alpha| cAMP-dependent protein kinase (PKA) IC50
  565264 4.17 |Serine/threonine-protein kinase Aurora-B| Casein kinase II alpha IC50
  568337 12142.86 |Serine/threonine-protein kinase Chk1| cAMP-dependent protein kinase (PKA) IC50
  571374 8195.45 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-alpha subunit IC50
  571375 45454.55 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-delta subunit IC50
  571400 4663.64 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-alpha subunit IC50
  571491 8195.45 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-alpha subunit IC50
  583307 16666.67 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  608601 9090.91 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase Aurora-A IC50
  612604 156250.00 |Serine/threonine-protein kinase B-raf| Inhibitor of nuclear factor kappa B kinase beta subunit IC50
  620795 50000.00 |Serine/threonine-protein kinase mTOR| Tyrosine-protein kinase SRC IC50
  621330 899.00 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-alpha subunit IC50
  704793 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  704794 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  704795 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  704796 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  706719 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  706843 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  706844 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  706960 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707073 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707190 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707305 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707418 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707527 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707528 38.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-delta subunit IC50
  707646 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707647 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707756 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
  707757 25.50 |Serine/threonine-protein kinase mTOR| PI3-kinase p110-gamma subunit IC50
