     213 1471.25 |Ribosomal protein S6 kinase alpha 5| G protein-coupled receptor kinase 6 IC50
     222 25.33 |Protein kinase C, PKC; classical| CaM kinase II delta IC50
    1545 306122.45 |Tyrosine-protein kinase SRC| cAMP-dependent protein kinase (PKA) IC50
    2249 22222.22 |Protein kinase C alpha| cAMP-dependent protein kinase (PKA) IC50
   12118 20.00 |Tyrosine-protein kinase SRC| Tyrosine-protein kinase ABL IC50
   13507 14.62 |MAP kinase p38 alpha| MAP kinase p38 IC50
   13513 4.17 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13512 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13521 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13515 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13525 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13522 6.46 |MAP kinase p38| MAP kinase p38 IC50
   13527 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13554 14.62 |MAP kinase p38| MAP kinase p38 IC50
   13563 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13562 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13574 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13595 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13599 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13600 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13603 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13606 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13629 1000.00 |MAP kinase p38 alpha| MAP kinase ERK2 IC50
   13638 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13641 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13646 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13663 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13659 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13669 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13670 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13695 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13687 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13702 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13710 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13735 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13736 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13748 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13762 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13763 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13766 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13772 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13778 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13786 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13787 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13788 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13791 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13796 3.19 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
   13953 54.55 |Cyclin-dependent kinase 2/cyclin A| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   13972 54.55 |Cyclin-dependent kinase 2/cyclin A| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   14090 200000.00 |Cyclin-dependent kinase 2/cyclin A| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   14181 54.55 |Cyclin-dependent kinase 2/cyclin A| Cyclin-dependent kinase 5/CDK5 activator 1 IC50
   14221 900000.00 |Cyclin-dependent kinase 2/cyclin E1| Cyclin-dependent kinase 1 IC50
   14366 240000.00 |Cyclin-dependent kinase 9| cAMP-dependent protein kinase (PKA) IC50
   14494 227.27 |Cyclin-dependent kinase 2| Cyclin-dependent kinase 4/cyclin D IC50
   14503 161.29 |Cyclin-dependent kinase 1/cyclin B| Tyrosine-protein kinase LCK IC50
   16941 2.94 |Cyclin-dependent kinase 2/cyclin E| Cyclin-dependent kinase 1/cyclin B IC50
   16974 14.29 |Cyclin-dependent kinase 2| Cyclin-dependent kinase 4 IC50
   17028 2.17 |Cyclin-dependent kinase 2/cyclin E| Cyclin-dependent kinase 2/cyclin A IC50
   17089 17.07 |Cyclin-dependent kinase 2/cyclin A| Cyclin-dependent kinase 1/cyclin B IC50
   17128 13.25 |Thymidine kinase| Thymidine kinase IC50
   18397 8333.33 |Tyrosine-protein kinase JAK3| cAMP-dependent protein kinase alpha-catalytic subunit IC50
   21376 3500.00 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   21378 3500.00 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
   21440 3500.00 |Serine/threonine-protein kinase RAF| Serine/threonine-protein kinase RAF IC50
