  427424 420.00 |Serine/threonine-protein kinase AKT| Serine/threonine-protein kinase AKT IC50
  436394 681.82 |MAP kinase-activated protein kinase 2| MAP kinase-activated protein kinase 2 IC50
  489138 4.98 |PI3-kinase p110-beta subunit| PI3-kinase p110-gamma subunit IC50
  489139 4.98 |PI3-kinase p110-beta subunit| PI3-kinase p110-gamma subunit IC50
 1138348 3.89 |Serine/threonine-protein kinase AKT| Serine/threonine-protein kinase AKT IC50
 1175253 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175255 1500.00 |MAP kinase p38 alpha| Serine/threonine-protein kinase RAF IC50
 1175256 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175254 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175258 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175261 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175264 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175265 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175266 1500.00 |MAP kinase p38 alpha| Serine/threonine-protein kinase RAF IC50
 1175267 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1175270 87.50 |MAP kinase p38 alpha| MAP kinase p38 alpha IC50
 1250795 1230.77 |MAP kinase p38 alpha| Serine/threonine-protein kinase RAF IC50
 1276936 166.67 |Serine/threonine-protein kinase PIM1| Serine/threonine-protein kinase PAK 2 IC50
 1281119 40.29 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM1 IC50
 1281120 7838714.29 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM1 IC50
 1281131 40.29 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM1 IC50
 1281130 7838714.29 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM1 IC50
 1333367 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1333459 526.32 |Cyclin-dependent kinase 1| Serine/threonine-protein kinase Aurora-A IC50
 1334975 200.00 |Ketohexokinase| Ketohexokinase IC50
 1431423 506.17 |PI3-kinase p110-beta subunit| PI3-kinase p110-alpha subunit IC50
 1579705 138.57 |Ribosomal protein S6 kinase alpha 5| Casein kinase I delta IC50
 1579707 138.57 |Ribosomal protein S6 kinase alpha 5| Casein kinase I delta IC50
 1589556 1.00 |Tyrosine-protein kinase ZAP-70| Tyrosine-protein kinase ABL IC50
 1606086 600000.00 |ALK tyrosine kinase receptor| Tyrosine-protein kinase receptor UFO IC50
 1736262 1500.00 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 1/cyclin B1 IC50
 1736263 1500.00 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 1/cyclin B1 IC50
 1736264 1500.00 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 1/cyclin B1 IC50
 1817447 9090.91 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase PLK1 IC50
 1817451 4545.45 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase PLK4 IC50
 1817456 4545.45 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase PLK4 IC50
 1817461 45454.55 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase PLK4 IC50
 1817462 45454.55 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase PLK4 IC50
 1817465 4545.45 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase PLK4 IC50
 1817466 4545.45 |Tyrosine-protein kinase receptor FLT3| Serine/threonine-protein kinase PLK4 IC50
 1817469 45454.55 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase PLK4 IC50
 1827513 6.00 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM2 IC50
 1827516 6.00 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM2 IC50
 1827515 6.00 |Serine/threonine-protein kinase PIM3| Serine/threonine-protein kinase PIM2 IC50
 1835710 45454.55 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase PLK1 IC50
 1960538 1000.00 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1960540 1000.00 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1960613 1000.00 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1960612 1000.00 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1983482 10.10 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK2 IC50
 1985216 19.32 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK3 IC50
 2020625 142000.00 |Serine/threonine-protein kinase PIM1| Serine/threonine-protein kinase PIM2 IC50
 2020626 142000.00 |Serine/threonine-protein kinase PIM1| Serine/threonine-protein kinase PIM2 IC50
 2022708 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022709 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022710 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022711 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022712 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022713 340.00 |Tyrosine-protein kinase JAK2| Tyrosine-protein kinase LCK IC50
 2022716 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2022718 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2022720 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2022722 1.00 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase JAK3 IC50
 2026834 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026827 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026831 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026853 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026855 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026859 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026860 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2026863 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2038053 1.00 |PI3-kinase p110-delta subunit| PI3-kinase p110-delta subunit IC50
 2082664 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082662 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082663 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082667 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082668 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082670 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082671 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082673 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082674 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082892 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082898 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082895 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082899 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082900 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082903 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082904 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082901 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082902 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082905 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082906 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082910 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082911 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082925 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082913 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082917 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082918 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082923 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082926 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082927 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082930 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082931 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
 2082932 2.20 |Cyclin-C/Cyclin-dependent kinase 19| Cell division protein kinase 8 IC50
